[0:10;14] INFO: Application started on PORT: 3000
[1:1;56] INFO: Application started on PORT: 3000
[1:17;24] INFO: Application started on PORT: 3000
[1:17;53] INFO: Application started on PORT: 3000
[1:18;43] INFO: Application started on PORT: 3000
[1:19;1] INFO: Application started on PORT: 3000
[1:19;47] INFO: Application started on PORT: 3000
[1:20;47] INFO: Application started on PORT: 3000
[1:21;50] INFO: Application started on PORT: 3000
[1:22;16] INFO: Application started on PORT: 8085
[1:22;30] INFO: Application started on PORT: 8085
[1:23;43] INFO: Application started on PORT: 8085
[1:23;48] INFO: Application started on PORT: 8085
[1:23;55] INFO: Application started on PORT: 8085
[1:24;39] INFO: Application started on PORT: 8085
[1:25;15] INFO: Application started on PORT: 8085
[1:32;6] INFO: Application started on PORT: 8085
[1:32;44] INFO: Application started on PORT: 8085
[1:33;56] INFO: Application started on PORT: 8085
[1:34;35] INFO: Application started on PORT: 8085
[1:35;27] INFO: Application started on PORT: 8085
[1:35;31] INFO: Application started on PORT: 8085
[1:38;35] INFO: Application started on PORT: 8085
[1:38;51] INFO: GET /
[1:38;51] INFO: info log test
[1:38;51] ERROR: error log test
[1:39;25] INFO: Application started on PORT: 8085
[1:39;25] INFO: GET /
[1:39;25] INFO: info log test
[1:39;25] ERROR: error log test
[1:39;26] INFO: GET /favicon.ico
[1:39;51] INFO: Application started on PORT: 8085
[1:39;55] INFO: GET /
[1:39;55] INFO: info log test
[1:39;55] ERROR: error log test
[1:42;4] INFO: Application started on PORT: 8085
[1:42;7] INFO: GET /
[1:42;7] INFO: info log test
[1:42;7] ERROR: error log test
[1:42;10] INFO: GET /
[1:42;10] INFO: info log test
[1:42;10] ERROR: error log test
[1:52;25] INFO: Application started on PORT: 8085
[1:52;38] INFO: GET /
[1:52;38] INFO: info log test
[1:52;38] ERROR: error log test
[1:53;51] INFO: Application started on PORT: 8085
[1:54;18] INFO: Application started on PORT: 8085
[1:54;48] INFO: Application started on PORT: 8085
[1:55;25] INFO: Application started on PORT: 8085
[1:56;24] INFO: Application started on PORT: 8085
[1:56;35] INFO: GET /
[1:56;35] INFO: info log test
[1:56;35] ERROR: error log test
[1:57;17] INFO: GET /
[1:57;17] INFO: info log test
[1:57;17] ERROR: error log test
[1:57;18] INFO: GET /
[1:57;18] INFO: info log test
[1:57;18] ERROR: error log test
[1:57;19] INFO: GET /
[1:57;19] INFO: info log test
[1:57;19] ERROR: error log test
[1:57;23] INFO: GET /
[1:57;23] INFO: info log test
[1:57;23] ERROR: error log test
[1:57;44] INFO: GET /
[1:57;44] INFO: info log test
[1:57;44] ERROR: error log test
[2:6;41] INFO: Application started on PORT: 8085
[2:6;45] INFO: GET /
[2:6;47] INFO: GET /
[2:6;51] INFO: GET /
[2:7;1] INFO: Application started on PORT: 8085
[2:7;2] INFO: GET /
[2:7;7] INFO: GET /
[2:7;8] INFO: GET /
[2:7;22] INFO: Application started on PORT: 8085
[2:7;24] INFO: GET /
[2:7;25] INFO: GET /
[2:7;26] INFO: GET /
[2:7;44] INFO: Application started on PORT: 8085
[2:7;46] INFO: GET /
[2:28;43] INFO: Application started on PORT: 8085
[2:28;48] INFO: GET /
[2:36;42] INFO: Application started on PORT: 8085
[2:36;44] INFO: GET /
[2:41;13] INFO: Application started on PORT: 8085
[2:41;14] INFO: GET /
[2:42;1] INFO: Application started on PORT: 8085
[2:42;3] INFO: GET /
